nodes,avg_ns,std_ns
2,3718.78,5.02
4,7114.55,14.05
6,10167.06,12.3
8,12338.92,21.12
10,14002.59,29.06
12,16601.08,43.75
14,16420.52,36.0
16,18426.46,19.4
18,18459.23,54.32
20,18602.78,43.3
22,20642.76,13.99
24,23133.88,19.03
26,22462.25,20.31
28,22498.58,11.14
30,22437.59,18.75
32,24096.87,11.35
34,24391.63,11.18
36,24432.83,45.28
38,24657.8,101.02
40,24460.21,88.76
42,24759.93,17.38
44,26505.06,43.09
46,26368.36,71.39
48,28844.29,92.66
50,28685.73,89.41
52,28390.01,26.66
54,28503.96,16.46
56,28688.08,20.19
58,28724.74,16.88
60,28960.43,50.05
62,28811.25,39.48
64,30067.6,21.68
