nodes,avg_ns,std_ns
2,3641.17,3.5
4,8177.42,13.35
6,13627.18,15.99
8,18496.4,18.0
10,22787.47,28.32
12,27667.95,18.97
14,32678.74,36.49
16,37838.39,17.94
18,42682.52,30.02
20,46947.53,43.94
22,51933.54,41.63
24,57253.19,20.5
26,62308.26,21.14
28,66809.57,44.63
30,71130.53,21.95
32,77684.16,38.01
34,82455.78,59.08
36,88092.18,17.65
38,92016.87,206.37
40,97652.45,731.52
42,102539.82,124.74
44,107468.06,97.93
46,113707.94,168.99
48,119109.81,55.63
50,124355.76,193.4
52,129456.68,186.21
54,134981.97,319.64
56,139631.42,32.69
58,143959.7,229.16
60,148889.87,231.4
62,154182.71,162.52
64,160897.28,243.15
