nodes,avg_ns,std_ns
2,2605.72,6.01
4,5317.36,9.61
6,8066.17,22.17
8,8008.55,29.87
10,11082.54,33.22
12,11108.89,19.67
14,11098.8,12.48
16,10958.3,18.38
18,13303.0,11.7
20,13561.94,18.31
22,13565.1,59.87
24,13470.76,31.37
26,13617.68,26.67
28,13310.25,19.13
30,13509.81,33.49
32,13271.59,13.8
34,16000.53,42.15
36,16395.2,36.82
38,16849.09,17.66
40,16216.98,33.65
42,16820.85,51.52
44,16908.63,32.43
46,16906.82,19.1
48,17254.61,28.9
50,17391.72,36.96
52,16997.75,35.37
54,17104.35,22.23
56,17195.45,37.12
58,17039.41,35.36
60,17150.54,22.76
62,17257.02,33.2
64,17157.31,28.64
